material_id,material_name,family_id,split_group_id,normalized_rock_type,classification_cohort,series_id
r407,R407,fam_e3d87959f617,sg_2868e95e59fe,BASALT,I_T,family_fam_e3d87959f617
r121,R121,fam_c2df51122e6e,sg_2ef91c8c11d6,BASALT,I_T,family_fam_c2df51122e6e
umass18311,UMASS18311,fam_8582871013f9,sg_30d2a0884b40,BASALT,I_T,family_fam_8582871013f9
hsdp230,HSDP230,fam_1b190bd277a5,sg_38066ae6b555,BASALT,I_T,family_fam_1b190bd277a5
hsdp123,HSDP123,fam_480dbf6a0f3c,sg_5c4a687e425b,BASALT,I_T,family_fam_480dbf6a0f3c
kh16k,KH16K,fam_18d6c509a7b3,sg_87cf37476e75,BASALT,I_T,family_fam_18d6c509a7b3
w12,W12,fam_c9f0ec5c99dd,sg_bcc09a64b229,BASALT,I_T,family_fam_c9f0ec5c99dd
tt63297,TT63297,fam_4f155e07991d,sg_dc7c9349910b,BASALT,I_T,family_fam_4f155e07991d
ow1505,OW1505,fam_4ca1ad30160b,sg_1827bc8c6bca,BASALTICANDESITE,I_T,family_fam_4ca1ad30160b
vh51,VH51,fam_85e3389b7058,sg_2d693c93d54e,BASALTICANDESITE,I_T,family_fam_85e3389b7058
vh98po,VH98PO,fam_d1483df236c1,sg_352700cc8806,BASALTICANDESITE,I_T,family_fam_d1483df236c1
vh57,VH57,fam_84fe55df84c1,sg_4e6d10057b72,BASALTICANDESITE,I_T,family_fam_84fe55df84c1
roza873,ROZA873,fam_032dbff5946d,sg_8018dfd0450d,BASALTICANDESITE,I_T,family_fam_032dbff5946d
84m,84M,fam_bc020fd9d0e8,sg_a720d58d4dea,BASALTICANDESITE,I_T,family_fam_bc020fd9d0e8
ldm228,LDM228,fam_8ba1e3026a11,sg_da490a69b702,BASALTICANDESITE,I_T,family_fam_8ba1e3026a11
vh93d,VH93D,fam_e6e7c96bebac,sg_f18fadb81138,BASALTICANDESITE,I_T,family_fam_e6e7c96bebac
vh200m,VH200M,fam_89e5ede30e00,sg_231716207175,RHYOLITE,I_T,family_fam_89e5ede30e00
c12ma187,C12MA187,fam_3d2f0771eb8d,sg_2dab62143dc6,RHYOLITE,I_T,family_fam_3d2f0771eb8d
ldm89,LDM89,fam_5cf25a5948e9,sg_430e8874512c,RHYOLITE,I_T,family_fam_5cf25a5948e9
ldm158,LDM158,fam_56d14c8bfd18,sg_4d1a7e93beb4,RHYOLITE,I_T,family_fam_56d14c8bfd18
dkm1190,DKM1190,fam_d8c2dcbca31d,sg_54df2dfed553,RHYOLITE,I_T,family_fam_d8c2dcbca31d
n10ma14,N10MA14,fam_25c2b483a052,sg_913c4464bef7,RHYOLITE,I_T,family_fam_25c2b483a052
mr0618,MR0618,fam_de79c252d54a,sg_981c660d2404,RHYOLITE,I_T,family_fam_de79c252d54a
ldm156,LDM156,fam_2271f63d0052,sg_a7d16c410024,RHYOLITE,I_T,family_fam_2271f63d0052
ldm88,LDM88,fam_0582fdccd1fd,sg_1eec3add8cfc,TRACHYANDESITE,I_T,family_fam_0582fdccd1fd
g19mt,G19MT,fam_2691978976d0,sg_33bfe64e2d36,TRACHYANDESITE,I_T,family_fam_2691978976d0
g7mt,G7MT,fam_a29931fbe272,sg_7331c0c67f54,TRACHYANDESITE,I_T,family_fam_a29931fbe272
