split_group_id,normalized_rock_type,classification_cohort,material_count,material_ids,family_ids
sg_0118748c621e,BASALT,TRAIN,1,hsdp152,fam_1e3fbdeb7138
sg_01cc31855604,BASALT,TRAIN,1,dc42465,fam_3006be0bbc9d
sg_01f6cfb3bd8f,RHYOLITE,TRAIN,1,940am,fam_889335aff9cc
sg_029be2a884cf,BASALT,TRAIN,1,w11,fam_e3a5ccfe1004
sg_030caf1552d9,BASALT,TRAIN,1,63d1,fam_b3f8d347a8e7
sg_030e5545e349,RHYOLITE,I_V,1,buck901,fam_d5f097c55fa6
sg_03683b32687a,RHYOLITE,TRAIN,1,kn1814107,fam_970be0745008
sg_040460e2e92e,BASALT,TRAIN,1,rir870,fam_3ac7b302d757
sg_0426e142df56,TRACHYANDESITE,TRAIN,1,iahf6,fam_7e74edc78840
sg_042735398be5,RHYOLITE,TRAIN,1,r21,fam_fda189156150
sg_044c86952b86,BASALT,TRAIN,1,ran7,fam_54ef4a6576b0
sg_0457fe1a60ba,BASALT,TRAIN,1,68d23,fam_2f958d93157b
sg_04a86b611af7,BASALT,TRAIN,1,sk173,fam_08f85da315c6
sg_04a9e3362c71,BASALT,TRAIN,1,mg3,fam_8b6ed963aa88
sg_04e3618d01fb,BASALT,TRAIN,1,68d12,fam_311890a5ef62
sg_050f232582c2,BASALT,TRAIN,1,sk219,fam_c05b579cc89a
sg_0531df1e09b5,BASALT,TRAIN,2,hsdp16|hsdp16a,fam_5aae56bcab76
sg_05a8058c48a3,BASALT,TRAIN,1,ml45,fam_b2de18d9fb37
sg_05c26b291392,BASALT,TRAIN,1,hsdp15,fam_793dc3d356fa
sg_05ebd1587a78,RHYOLITE,X_T,1,ldm110,fam_ff6308b7e5e9
sg_0654dcc28b7d,BASALT,TRAIN,1,umass1823a,fam_88b897eb3bfc
sg_0699c2c1d70d,BASALT,TRAIN,1,sk138,fam_f18d4835a772
sg_06d788c91a64,BASALT,TRAIN,1,14d18,fam_abd3bdfb61bd
sg_06f6af400d1c,BASALT,TRAIN,1,w7,fam_3caf47a77e98
sg_073def565ff8,BASALT,TRAIN,1,umass1849,fam_ace6cec9ac33
sg_07cc8f181ea9,RHYOLITE,TRAIN,1,n10ma12,fam_750f79abd24f
sg_083646040170,BASALT,TRAIN,1,kv0421,fam_a63705f99b31
sg_087681bc191c,BASALT,TRAIN,1,hsdp181,fam_aafb6799813d
sg_08d55638823d,BASALT,TRAIN,2,68d51|tt17068d,fam_7cb85d6cd2fd
sg_08fe854494cb,RHYOLITE,TRAIN,1,ldm86,fam_35065445d067
sg_092b3bccd5d1,BASALT,TRAIN,1,vh96p,fam_a97dd659bf21
sg_09470692869a,BASALT,TRAIN,1,hsdp12,fam_17d9d5f54093
sg_099ed58fea36,BASALT,TRAIN,1,hsdp118,fam_315ea91578bf
sg_09a4e725cc18,BASALT,TRAIN,1,iah226,fam_89e305df5c5b
sg_09ab17b8ef94,BASALT,TRAIN,1,mg8a,fam_deeedd1f08b6
sg_09e14e4395cf,RHYOLITE,TRAIN,1,tr4450a,fam_d063dc672575
sg_09f4ad46e2e4,BASALT,TRAIN,1,iahas2,fam_fa084b96bfe6
sg_0a1ae90189c3,BASALT,TRAIN,1,hsdp148a,fam_59ce10ef08da
sg_0a73fa87ed0e,BASALT,TRAIN,1,53d21,fam_97ce9ef81db9
sg_0ad48b71b20b,BASALT,TRAIN,1,r126,fam_5136c6387811
sg_0b39384c2513,BASALTICANDESITE,TRAIN,1,alr02,fam_ac7f9355e2fb
sg_0bb078b0af2f,BASALT,TRAIN,1,vh80d,fam_2738a868c302
sg_0bc4d581abf2,BASALT,TRAIN,1,48d1,fam_c0c1fd97d5d0
sg_0bdf3a1a42c5,BASALT,X_T,1,iahg1p,fam_99b27abdf6f8
sg_0c299467811e,RHYOLITE,TRAIN,1,kn1815777,fam_b72bd637c1a3
sg_0c358a60ddce,TRACHYANDESITE,TRAIN,1,p7mt,fam_085cc6df69c5
sg_0cca86b74dd5,BASALT,TRAIN,1,stbk0302,fam_42ee7b26f865
sg_0d2d7fa9e660,BASALT,X_V,1,iahcs2,fam_458e92a8d03d
sg_0d781723aa47,BASALT,TRAIN,2,hsdp329|r915,fam_15ca1a5f8992
sg_0e79e929eb0e,BASALT,TRAIN,1,21d21,fam_b72938aefcd9
sg_0ee5d5b380eb,BASALT,TRAIN,1,umass1859a,fam_c183da40e462
sg_0f742eb9024e,BASALT,TRAIN,1,hsdp288a,fam_f401a3ab0150
sg_0f7c4c34be63,RHYOLITE,TRAIN,1,iah248,fam_8ab17af38d03
sg_0f90748d13d5,BASALT,TRAIN,1,30d11,fam_5314fd468f78
sg_0f985492624a,BASALT,TRAIN,2,hsdp312|hsdp312a,fam_c92d548ffa66
sg_0fce25651c7a,BASALT,TRAIN,1,hsdp176,fam_04a443aaa6e8
sg_0feda219e343,BASALT,TRAIN,1,hsdp93,fam_ab0213b1844c
sg_100b691ef486,BASALT,TRAIN,1,ner29,fam_5fd9995880fa
sg_108c63b30fc7,RHYOLITE,TRAIN,1,tr3491b,fam_30b8bca3825c
sg_10c204d683ba,BASALT,TRAIN,1,72d67,fam_e4f0ab0f7cb0
sg_10dff3932df9,RHYOLITE,TRAIN,1,n10ma017,fam_2721f7a2f1f9
sg_10ec62b691ba,BASALT,TRAIN,1,60d10,fam_ac0ef5da7268
sg_10fb815903f1,BASALT,TRAIN,1,29d2,fam_be06a6ac40d8
sg_11b2ddbc679f,BASALT,TRAIN,1,ow9902,fam_1f5dc88d64d5
sg_11ec1163a3fd,BASALT,TRAIN,1,hsdp278a,fam_95da51cc27b3
sg_12f570ba31b2,BASALT,X_V,1,iahee9,fam_8198e5a68e7e
sg_1305e5497354,BASALT,TRAIN,1,ow2418,fam_06b91f4e4209
sg_13208857b455,BASALT,TRAIN,1,41d34,fam_cfb04d7a6aef
sg_13455220e909,BASALT,TRAIN,1,stbk0301,fam_b69934d9f75b
sg_1386903ce8b4,BASALT,TRAIN,1,hsdp163,fam_01c0fd3cb837
sg_13c794f75a9d,BASALT,TRAIN,1,72d53,fam_206f8635f49a
sg_142d7e9c1411,BASALT,TRAIN,1,iahg2,fam_66d71f624cf0
sg_148c0fc00026,BASALT,TRAIN,1,iahg7,fam_c862bbca1df1
sg_149307ad41d6,BASALTICANDESITE,TRAIN,1,ldm233,fam_72a67af7a9f8
sg_14d27f0560c6,BASALT,TRAIN,1,21d41,fam_cbf5c93da71c
sg_153ff16ca08e,RHYOLITE,TRAIN,1,tr4775a,fam_840d1e8dfdbf
sg_1583d48f4075,RHYOLITE,X_T,1,ldm162,fam_ae079c798f50
sg_160d243466cd,BASALT,TRAIN,1,hsdp260a,fam_f203df2785d7
sg_161f18823c24,BASALT,TRAIN,1,iahi7,fam_d91ccb431d4d
sg_163cb60b546a,BASALTICANDESITE,TRAIN,1,ldm81,fam_ea65608d7710
sg_16c5b3d0a547,BASALT,TRAIN,2,hsdp80|hsdp80a,fam_1144935e639d
sg_16c9fe576b08,BASALT,TRAIN,1,vh101p,fam_9334bda69568
sg_17140a1fa7ff,BASALT,TRAIN,1,rdv2,fam_5f2e8d8195c3
sg_17928c57c65d,BASALT,TRAIN,1,rcv852,fam_c261946a706e
sg_1827bc8c6bca,BASALTICANDESITE,I_T,1,ow1505,fam_4ca1ad30160b
sg_1953c0d4c2be,BASALT,TRAIN,1,53d6,fam_9a0e1d397648
sg_19b7612af3f9,BASALT,TRAIN,1,hsdp226a,fam_90dc78e80808
sg_1a8a1db59d97,BASALT,TRAIN,2,hsdp91|r219,fam_3f6ddf16d9df
sg_1b0a4cc12969,BASALT,TRAIN,1,hsdp111,fam_027e47099bd9
sg_1b19ee06103c,BASALT,TRAIN,1,hsdp114a,fam_ab9bda7297e8
sg_1b424cde8b41,RHYOLITE,TRAIN,1,rr8522,fam_985fc989acdc
sg_1bb44192a440,BASALT,TRAIN,1,r153,fam_42290df16ea7
sg_1bbc3fc4f9cb,BASALT,TRAIN,1,iah220,fam_ce12dbef891d
sg_1c1eb4670197,BASALT,TRAIN,1,ner2842,fam_eaf7f481e358
sg_1c70edf341b6,BASALT,TRAIN,1,vh88u,fam_1b48b38fcf86
sg_1dbab5bb2b27,BASALT,TRAIN,1,w9,fam_ed6ee239b862
sg_1e5435bc7ba9,BASALT,TRAIN,1,hsdp172,fam_149a8f2ca1a8
sg_1e78365cdc82,RHYOLITE,I_V,1,r2098m,fam_bf9950f24559
sg_1e7b77fd451d,RHYOLITE,TRAIN,1,vh69m,fam_a48f0c197524
sg_1eec3add8cfc,TRACHYANDESITE,I_T,1,ldm88,fam_0582fdccd1fd
sg_1ef68c9d876c,BASALT,TRAIN,1,ml72,fam_e45fd1c21dfb
sg_1f2320cf73e6,BASALT,TRAIN,1,rdv4,fam_5aa0eca717d2
sg_1f69944a2755,BASALT,TRAIN,1,6d9,fam_e3da88df1bb1
sg_21377a348f4d,BASALT,TRAIN,1,2d1,fam_3a5fb20cd78f
sg_21afbbc4d5bf,BASALTICANDESITE,TRAIN,1,vh56,fam_0e5909b412cd
sg_21b59b72399a,BASALT,TRAIN,1,68d50,fam_c2b266ef2cc4
sg_21e443a3fda0,BASALT,TRAIN,1,53d12,fam_61125ffb63ce
sg_21f7d3d6d07a,BASALT,TRAIN,1,umass1853,fam_8f423631b72c
sg_22203a3a2c48,RHYOLITE,TRAIN,1,tr2947a,fam_a7d258d34d57
sg_223fae04d9e3,BASALT,TRAIN,1,kv043,fam_3ea10305b0ce
sg_2241ccf672ac,BASALT,TRAIN,1,sk145,fam_3b4fc61b18ea
sg_231716207175,RHYOLITE,I_T,1,vh200m,fam_89e5ede30e00
