branch,class,cohort,split_groups,materials
A,ANDESITE,OOD_BUFFER,1,1
A,ANDESITE,TRAIN,28,28
A,ANDESITE,T_IN,7,7
A,ANDESITE,T_OOD,7,7
A,ANDESITE,V_IN,3,3
A,ANDESITE,V_OOD,3,3
A,BASALT,TRAIN,680,730
A,BASALT,T_IN,7,8
A,BASALT,T_OOD,7,7
A,BASALT,V_IN,3,3
A,BASALT,V_OOD,3,4
A,BASALTICANDESITE,OOD_BUFFER,1,1
A,BASALTICANDESITE,TRAIN,38,39
A,BASALTICANDESITE,T_IN,7,7
A,BASALTICANDESITE,T_OOD,7,7
A,BASALTICANDESITE,V_IN,3,3
A,BASALTICANDESITE,V_OOD,3,3
A,BASALTICTRACHYANDESITE,OOD_BUFFER,1,1
A,BASALTICTRACHYANDESITE,TRAIN,30,32
A,BASALTICTRACHYANDESITE,T_IN,7,7
A,BASALTICTRACHYANDESITE,T_OOD,7,11
A,BASALTICTRACHYANDESITE,V_IN,3,3
A,BASALTICTRACHYANDESITE,V_OOD,3,3
A,DACITE,OOD_BUFFER,1,1
A,DACITE,TRAIN,58,59
A,DACITE,T_IN,7,7
A,DACITE,T_OOD,7,7
A,DACITE,V_IN,3,3
A,DACITE,V_OOD,3,3
A,FOIDITE,OOD_BUFFER,1,1
A,FOIDITE,TRAIN,20,20
A,FOIDITE,T_IN,7,7
A,FOIDITE,T_OOD,7,7
A,FOIDITE,V_IN,3,3
A,FOIDITE,V_OOD,3,3
A,RHYOLITE,TRAIN,112,113
A,RHYOLITE,T_IN,7,7
A,RHYOLITE,T_OOD,7,7
A,RHYOLITE,V_IN,3,3
A,RHYOLITE,V_OOD,3,3
A,TRACHYANDESITE,OOD_BUFFER,2,2
A,TRACHYANDESITE,TRAIN,38,38
A,TRACHYANDESITE,T_IN,7,7
A,TRACHYANDESITE,T_OOD,7,7
A,TRACHYANDESITE,V_IN,3,3
A,TRACHYANDESITE,V_OOD,3,3
B,BASALT,I_T,8,8
B,BASALT,I_V,4,5
B,BASALT,TRAIN,676,727
B,BASALT,X_T,8,8
B,BASALT,X_V,4,4
B,BASALTICANDESITE,I_T,8,8
B,BASALTICANDESITE,I_V,4,4
B,BASALTICANDESITE,TRAIN,35,35
B,BASALTICANDESITE,X_T,8,9
B,BASALTICANDESITE,X_V,4,4
B,RHYOLITE,I_T,8,8
B,RHYOLITE,I_V,4,4
B,RHYOLITE,TRAIN,108,109
B,RHYOLITE,X_T,8,8
B,RHYOLITE,X_V,4,4
B,TRACHYANDESITE,I_T,8,8
B,TRACHYANDESITE,I_V,4,4
B,TRACHYANDESITE,TRAIN,36,36
B,TRACHYANDESITE,X_T,8,8
B,TRACHYANDESITE,X_V,4,4
