material_idx,material_id,material_name,family_id,family_size,family_basis,series_id,series_size,category,major_oxide_sum_wt_percent,major_oxide_sum_rounded,major_oxide_fields_reported,major_oxide_closure_threshold,major_oxide_closure_excluded,stress_group,exclusion_reason,primary_include,cohort,complete_all10_unqualified,ood_score,radial_score,nearest_selection_train_distance,has_3mj,has_4mj,has_5mj,has_7mj,has_9mj
0,0201h,0201H,fam_664fd5bf84ff,1,singleton,family_fam_664fd5bf84ff,1,other,99.49000000000001,99.49,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
1,0211h,0211H,fam_81976456f276,1,singleton,family_fam_81976456f276,1,other,99.25000000000001,99.25,10,105.0,False,,,True,V_IN,True,0.5853967436026728,0.47135721404602166,0.5226053412882951,True,True,True,False,False
2,0212h,0212H,fam_c8d351a04843,1,singleton,family_fam_c8d351a04843,1,other,98.7,98.7,10,105.0,False,,,True,A_SEEN_TEST,True,0.939813243253238,0.7080558982963112,0.0,True,True,True,False,False
3,0213h,0213H,fam_e7eab68c28e0,1,singleton,family_fam_e7eab68c28e0,1,other,98.91999999999999,98.92,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
4,0214h,0214H,fam_a8d00a389642,1,singleton,family_fam_a8d00a389642,1,other,99.64999999999999,99.65,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
5,0216h,0216H,fam_f439ee6f3d8f,1,singleton,family_fam_f439ee6f3d8f,1,other,99.11999999999999,99.12,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
6,0228h,0228H,fam_a00950f2ff7a,1,singleton,family_fam_a00950f2ff7a,1,other,98.71,98.71,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
7,0229h,0229H,fam_3a1239fd91ad,1,singleton,family_fam_3a1239fd91ad,1,other,99.22,99.22,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
8,0230h,0230H,fam_7f3f490e2fec,1,singleton,family_fam_7f3f490e2fec,1,other,99.85,99.85,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
9,0232h,0232H,fam_1fac110eef32,1,singleton,family_fam_1fac110eef32,1,other,99.63,99.63,10,105.0,False,,,True,T_IN,True,0.6830115567414767,0.47346523471400176,0.41195087267429414,True,True,True,False,False
