row_set,spectra,materials,products,nominal_energy_groups,recorded_energies_mj
selection_train,469500,1934,19150,"3,5","2.4,4.0"
final_train,527050,2139,21250,"3,5","2.4,4.0"
val_v0_shot_random,5050,100,1010,"3,5","2.4,4.0"
val_v1_in_random,5125,100,1025,"3,5","2.4,4.0"
val_v2_ood_random,5150,100,1030,"3,5","2.4,4.0"
val_v3_in_boundary,5125,100,1025,"3,5","2.4,4.0"
val_v4_ood_boundary,5150,100,1030,"3,5","2.4,4.0"
test_shot_2p4,2100,100,420,3,2.4
test_shot_4p0,2100,100,420,5,4.0
test_location_2p4,2500,100,100,3,2.4
test_location_4p0,2500,100,100,5,4.0
test_seen_energy_3p2,13000,100,520,4,3.2
test_in_2p4,19750,151,790,3,2.4
test_in_3p2,19750,151,790,4,3.2
test_in_4p0,19875,151,795,5,4.0
test_ood_2p4,19875,150,795,3,2.4
test_ood_3p2,19875,150,795,4,3.2
test_ood_4p0,19875,150,795,5,4.0
test_all5_matched_2p4,5750,23,230,3,2.4
test_all5_matched_3p2,2875,23,115,4,3.2
test_all5_matched_4p0,5750,23,230,5,4.0
test_all5_matched_5p6,2875,23,115,7,5.6
test_all5_matched_7p2,2875,23,115,9,7.2
stress_pure_metal_2p4,125,1,5,3,2.4
stress_nonclosed_reference_2p4,250,2,10,3,2.4
stress_nonclosed_mixture_2p4,1375,11,55,3,2.4
stress_pure_metal_3p2,125,1,5,4,3.2
stress_nonclosed_reference_3p2,375,3,15,4,3.2
stress_nonclosed_mixture_3p2,1375,11,55,4,3.2
stress_pure_metal_4p0,125,1,5,5,4.0
stress_nonclosed_reference_4p0,375,3,15,5,4.0
stress_nonclosed_mixture_4p0,1375,11,55,5,4.0
stress_pure_metal_5p6,0,0,0,,
stress_nonclosed_reference_5p6,0,0,0,,
stress_nonclosed_mixture_5p6,0,0,0,,
stress_pure_metal_7p2,0,0,0,,
stress_nonclosed_reference_7p2,0,0,0,,
stress_nonclosed_mixture_7p2,0,0,0,,
